movie_title,year,rank,star_cast,rating,vote,link,genres
Oldeuboi,2003,69,"Park Chan-Wook (dir.), Choi Min-sik, Yoo Ji-Tae",8.344267260134002,541258,https://www.imdb.com/title/tt0364569/,"Action,Drama,Mystery,Thriller"
Kimi no na wa,2016,70,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.326344439761687,225302,https://www.imdb.com/title/tt5311514/,"Drama,Romance"
Once Upon a Time in America,1984,71,"Sergio Leone (dir.), Robert De Niro, James Woods",8.322694758373702,329378,https://www.imdb.com/title/tt0087843/,"Crime,Drama"
The Dark Knight Rises,2012,72,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.322559453272085,1579254,https://www.imdb.com/title/tt1345836/,Action
Aliens,1986,73,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.321421141019487,678929,https://www.imdb.com/title/tt0090605/,"Action,Adventure,Sci-Fi,Thriller"
Coco,2017,74,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.321406301465222,432614,https://www.imdb.com/title/tt2380307/,"Animation,Adventure,Comedy,Family,Fantasy,Music,Mystery"
Capharnaüm,2018,75,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.309878936099519,75659,https://www.imdb.com/title/tt8267604/,Drama
Avengers: Endgame,2019,76,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.308311975487637,941504,https://www.imdb.com/title/tt4154796/,"Action,Adventure,Drama,Sci-Fi"
Das Boot,1981,77,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.307020841861618,240725,https://www.imdb.com/title/tt0082096/,"Adventure,Drama,Thriller,War"
Hamilton,2020,78,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.30603684657219,73991,https://www.imdb.com/title/tt8503618/,"Biography,Drama,History,Musical"
Tengoku to jigoku,1963,79,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.303835645730418,39696,https://www.imdb.com/title/tt0057565/,"Crime,Drama,Mystery,Thriller"
American Beauty,1999,80,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.298064076046261,1105006,https://www.imdb.com/title/tt0169547/,Drama
Toy Story,1995,81,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.296224583994604,927641,https://www.imdb.com/title/tt0114709/,"Animation,Adventure,Comedy,Family,Fantasy"
3 Idiots,2009,82,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.295997204071188,368104,https://www.imdb.com/title/tt1187043/,"Comedy,Drama"
Amadeus,1984,83,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.294754424051504,382531,https://www.imdb.com/title/tt0086879/,"Biography,Drama,History,Music"
Braveheart,1995,84,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.294171995298981,989120,https://www.imdb.com/title/tt0112573/,"Biography,Drama,History,War"
Inglourious Basterds,2009,85,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.28770328373695,1334106,https://www.imdb.com/title/tt0361748/,"Adventure,Drama,War"
Good Will Hunting,1997,86,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.280807168574484,901457,https://www.imdb.com/title/tt0119217/,"Drama,Romance"
Star Wars: Episode VI - Return of the Jedi,1983,87,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.274852042049398,986865,https://www.imdb.com/title/tt0086190/,"Action,Adventure,Fantasy,Sci-Fi"
2001: Een zwerftocht in de ruimte,1968,88,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.273226741134016,630168,https://www.imdb.com/title/tt0062622/,"Adventure,Sci-Fi"
